id,price,vehicleType,yearOfRegistration,gearbox,powerPS,kilometer,notRepairedDamage
41255,7756,limousine,2006,manuell,200,125000,nein
75156,4439,kleinwagen,2007,manuell,80,80000,nein
144151,6942,limousine,2007,automatik,109,60000,nein
27467,6491,kombi,2008,manuell,125,150000,nein
35477,5904,limousine,2007,manuell,102,100000,nein
142543,7398,limousine,2008,manuell,122,150000,nein
12070,3977,bus,2008,automatik,140,150000,nein
41309,5536,kleinwagen,2008,manuell,86,100000,nein
64336,3031,kleinwagen,2006,manuell,60,90000,nein
133929,3227,bus,2006,manuell,144,150000,nein
170032,2196,bus,2006,manuell,86,150000,nein
107201,5010,bus,2007,automatik,140,150000,nein
155328,4724,kleinwagen,2007,manuell,69,125000,nein
18664,9988,kombi,2007,automatik,231,150000,nein
157265,2942,bus,2007,manuell,75,125000,nein
140118,4490,cabrio,2006,automatik,131,150000,nein
187682,2766,kombi,2007,manuell,109,150000,nein
16061,5861,kombi,2007,manuell,135,100000,nein
102812,6345,bus,2006,manuell,102,125000,nein
161815,2024,kombi,2006,automatik,119,150000,ja
106224,2616,kleinwagen,2006,manuell,88,150000,nein
81783,7963,cabrio,2006,manuell,116,100000,nein
93190,1936,kleinwagen,2006,manuell,68,150000,nein
168572,2491,kombi,2006,manuell,170,150000,nein
30249,7881,bus,2008,automatik,170,150000,nein
184692,7521,kombi,2007,manuell,140,150000,nein
46958,2389,kleinwagen,2007,manuell,58,90000,nein
173264,7164,limousine,2007,manuell,140,150000,nein
188945,5505,limousine,2006,manuell,80,70000,nein
162248,1620,coupe,2006,manuell,90,150000,ja
93742,8684,kombi,2007,automatik,177,150000,nein
112801,3995,bus,2007,manuell,120,150000,nein
167239,7505,bus,2008,manuell,86,125000,nein
31132,5424,kombi,2006,automatik,140,150000,ja
136596,6105,cabrio,2008,manuell,131,150000,nein
94698,3469,kleinwagen,2006,manuell,54,150000,nein
17233,6858,kombi,2006,manuell,163,150000,nein
170466,1521,kleinwagen,2006,manuell,60,150000,nein
89010,7035,kombi,2006,manuell,143,125000,nein
149854,1896,kleinwagen,2006,manuell,61,125000,nein
170165,2867,kleinwagen,2007,manuell,60,80000,nein
192761,3784,bus,2007,manuell,94,150000,nein
20246,2883,kleinwagen,2008,manuell,60,80000,ja
117198,5015,bus,2008,manuell,105,125000,nein
114640,3014,kleinwagen,2007,manuell,54,150000,nein
81951,5977,cabrio,2007,automatik,140,5000,nein
111203,5924,suv,2006,manuell,150,150000,ja
7308,9914,bus,2008,manuell,122,70000,nein
174986,3042,kleinwagen,2008,manuell,120,100000,nein
157653,6907,kombi,2007,automatik,179,150000,nein
158589,5982,kleinwagen,2006,manuell,69,70000,nein
58761,2819,kombi,2008,manuell,105,150000,nein
54982,6145,limousine,2006,manuell,122,150000,nein
155348,9277,limousine,2006,automatik,0,150000,nein
192388,5502,kleinwagen,2007,manuell,101,50000,nein
133750,3361,kleinwagen,2008,manuell,68,50000,nein
160827,4587,kombi,2006,manuell,110,125000,nein
61146,9363,kombi,2008,automatik,174,150000,nein
142263,2770,limousine,2008,manuell,86,150000,nein
103317,9899,limousine,2006,automatik,224,150000,nein
24033,6745,bus,2008,manuell,175,150000,nein
20742,7067,limousine,2006,manuell,120,150000,nein
77512,7479,limousine,2007,manuell,105,150000,ja
30660,3708,kleinwagen,2007,manuell,80,100000,nein
32295,8357,cabrio,2007,automatik,120,40000,nein
163999,9902,bus,2008,manuell,105,150000,nein
150573,1948,kleinwagen,2006,manuell,60,125000,nein
167246,9086,bus,2007,manuell,90,150000,nein
17620,5186,cabrio,2007,manuell,120,125000,nein
92390,1485,kleinwagen,2008,manuell,44,70000,ja
125588,5951,limousine,2006,automatik,250,150000,nein
112283,8983,coupe,2006,manuell,150,150000,nein
184630,2489,kleinwagen,2006,manuell,65,150000,nein
17530,4852,bus,2007,manuell,95,150000,nein
44453,4250,kleinwagen,2007,automatik,71,60000,nein
184757,8667,cabrio,2006,manuell,90,90000,nein
190080,8221,kombi,2006,automatik,179,150000,nein
70437,6774,limousine,2007,automatik,170,150000,nein
80662,4437,limousine,2008,automatik,95,100000,nein
187075,6500,kombi,2006,manuell,140,150000,nein
118392,9946,limousine,2008,manuell,177,150000,nein
166354,2496,kleinwagen,2006,manuell,75,150000,nein
170193,3937,kombi,2007,manuell,150,150000,nein
159485,6216,limousine,2006,manuell,155,150000,nein
42973,7508,kombi,2006,automatik,189,150000,nein
94472,3832,kombi,2007,manuell,116,150000,nein
186162,2929,kombi,2008,manuell,87,150000,nein
159911,2127,kleinwagen,2006,manuell,0,150000,ja
142717,2529,kleinwagen,2008,manuell,86,90000,ja
15907,5780,limousine,2007,manuell,97,90000,nein
136553,2020,kleinwagen,2007,manuell,69,90000,nein
70562,4270,kombi,2008,manuell,105,150000,nein
150150,8448,limousine,2006,manuell,140,150000,nein
130355,6007,limousine,2006,manuell,116,70000,nein
56154,7783,limousine,2008,manuell,174,50000,nein
169361,3714,kombi,2007,manuell,120,150000,nein
97115,2175,kleinwagen,2007,manuell,68,150000,nein
180058,4469,kleinwagen,2006,manuell,69,50000,nein
152603,3000,kleinwagen,2007,manuell,69,150000,nein
29399,7961,limousine,2006,automatik,179,150000,nein
4247,5897,kombi,2006,manuell,105,150000,nein
21518,8669,bus,2008,automatik,145,125000,nein
20620,4485,cabrio,2007,manuell,109,90000,nein
131517,7952,kombi,2006,manuell,177,80000,nein
93571,9343,limousine,2008,manuell,143,150000,nein
6305,6653,bus,2006,manuell,109,150000,nein
94760,8722,kombi,2008,automatik,200,125000,ja
68363,8260,cabrio,2007,manuell,87,40000,nein
79719,5668,kleinwagen,2007,manuell,80,150000,nein
54825,8304,cabrio,2007,manuell,177,125000,nein
177995,8499,limousine,2006,manuell,140,150000,nein
14080,8946,bus,2006,automatik,174,150000,ja
68338,8594,kombi,2007,manuell,116,125000,nein
71167,7267,kombi,2008,manuell,150,90000,nein
98889,3455,kleinwagen,2007,manuell,75,150000,nein
39221,9973,limousine,2006,automatik,177,150000,nein
13283,5858,kombi,2007,manuell,140,70000,nein
77246,2970,kombi,2006,manuell,110,150000,nein
104584,9495,suv,2008,automatik,171,150000,nein
89752,6961,limousine,2008,manuell,140,150000,nein
119181,6007,kleinwagen,2007,manuell,150,125000,nein
1844,5912,bus,2007,manuell,145,150000,nein
29330,7887,bus,2008,automatik,150,150000,nein
28969,3143,kleinwagen,2006,manuell,54,60000,nein
143792,8454,limousine,2007,automatik,170,125000,nein
178000,9047,kombi,2007,manuell,177,150000,nein
151025,4821,bus,2007,automatik,136,150000,nein
180630,5959,cabrio,2008,manuell,125,40000,nein
113258,7528,kombi,2008,manuell,110,70000,nein
44164,5953,limousine,2006,manuell,105,150000,nein
19008,3431,cabrio,2007,manuell,135,150000,nein
57927,6407,limousine,2007,manuell,160,50000,nein
71720,3284,limousine,2007,manuell,109,150000,nein
152324,3967,kleinwagen,2007,manuell,92,125000,nein
172556,4249,kleinwagen,2007,manuell,116,150000,ja
85187,9009,kombi,2007,manuell,163,150000,nein
67361,2789,kleinwagen,2006,manuell,54,80000,nein
35254,8516,suv,2007,automatik,136,125000,nein
118548,2950,kombi,2006,manuell,101,150000,nein
54035,5917,kombi,2008,manuell,109,150000,nein
114575,7760,coupe,2008,automatik,204,150000,nein
159369,3466,bus,2006,manuell,105,150000,nein
47201,5829,kombi,2008,manuell,90,150000,nein
119992,2020,kombi,2006,manuell,116,150000,nein
108504,2506,limousine,2006,manuell,75,100000,ja
53908,7210,limousine,2007,automatik,140,150000,nein
85264,3608,kleinwagen,2007,manuell,90,150000,nein
102366,7166,limousine,2008,manuell,80,80000,nein
185958,6790,kombi,2008,manuell,140,150000,nein
36780,6974,bus,2007,manuell,105,150000,nein
15495,4655,bus,2008,manuell,120,150000,nein
7354,2970,kombi,2006,manuell,0,150000,ja
86234,8839,kombi,2006,automatik,150,150000,nein
115181,6544,kleinwagen,2008,manuell,105,90000,nein
90872,3689,limousine,2006,manuell,105,125000,nein
37430,4252,kleinwagen,2008,manuell,69,150000,nein
190309,7794,cabrio,2008,manuell,116,150000,nein
195548,2794,kleinwagen,2008,manuell,68,150000,nein
142083,6041,kleinwagen,2006,manuell,120,150000,nein
111755,8011,kombi,2007,manuell,170,150000,nein
39975,3973,kombi,2006,manuell,136,150000,nein
135980,4042,kombi,2006,manuell,177,150000,nein
36953,5539,cabrio,2008,automatik,71,90000,nein
11126,3397,limousine,2008,manuell,140,150000,ja
127848,6995,limousine,2006,automatik,140,150000,nein
100771,6473,kombi,2006,manuell,0,150000,nein
76419,4898,bus,2007,manuell,105,150000,nein
47893,7429,limousine,2008,manuell,105,150000,nein
79778,6113,limousine,2008,manuell,143,150000,nein
41394,6190,suv,2008,manuell,150,150000,nein
124912,2262,kleinwagen,2006,manuell,60,125000,nein
119209,2970,kleinwagen,2007,manuell,60,150000,nein
93557,6469,kombi,2008,manuell,175,150000,nein
100725,2772,kleinwagen,2007,manuell,68,125000,nein
141488,3719,limousine,2006,manuell,105,125000,nein
20233,6018,kombi,2007,manuell,120,150000,nein
19324,6958,bus,2006,manuell,143,150000,nein
111751,4684,kombi,2006,manuell,166,150000,nein
158740,6055,kombi,2006,manuell,105,150000,nein
158052,6709,coupe,2007,manuell,200,150000,nein
54734,7991,limousine,2008,manuell,122,100000,nein
159667,7994,kombi,2006,manuell,163,150000,nein
128342,8389,bus,2006,manuell,140,150000,nein
124071,5864,kombi,2007,manuell,170,150000,nein
148667,7901,bus,2008,manuell,105,150000,nein
46448,9817,limousine,2008,automatik,160,80000,nein
12981,8516,cabrio,2007,manuell,116,60000,nein
176625,6334,coupe,2008,manuell,101,90000,nein
134832,6488,limousine,2008,manuell,102,100000,nein
106683,3958,kleinwagen,2007,manuell,80,125000,nein
134413,3850,kleinwagen,2008,manuell,58,50000,nein
20185,8664,bus,2008,manuell,131,150000,nein
111504,4502,kombi,2007,automatik,170,150000,ja
32555,9235,kleinwagen,2007,manuell,174,150000,nein
91984,4447,kombi,2006,manuell,143,150000,nein
176093,6902,limousine,2007,manuell,105,125000,nein
170080,6651,kombi,2006,manuell,122,150000,nein
100302,6772,kombi,2006,manuell,140,150000,nein
87965,3164,kleinwagen,2007,manuell,80,150000,nein
103403,7476,kombi,2007,manuell,170,150000,nein
8997,7799,limousine,2007,manuell,109,150000,nein
45681,7163,limousine,2008,manuell,136,150000,nein
166464,6032,limousine,2007,manuell,129,150000,nein
161483,7496,kombi,2006,automatik,163,150000,nein
4287,4746,kleinwagen,2007,manuell,140,150000,nein
59514,7344,limousine,2006,manuell,75,50000,nein
62536,4483,bus,2007,manuell,150,150000,nein
154666,4215,kleinwagen,2008,manuell,92,150000,nein
180985,9472,kombi,2008,manuell,120,90000,nein
79451,8009,limousine,2007,manuell,140,150000,nein
66852,3910,bus,2006,automatik,136,90000,nein
53644,3118,kombi,2006,automatik,90,150000,nein
26119,7995,bus,2007,manuell,131,150000,nein
126052,2427,kleinwagen,2007,manuell,65,150000,nein
166655,8422,limousine,2008,manuell,140,150000,nein
109891,1508,kombi,2006,automatik,170,150000,ja
19588,5229,kombi,2008,manuell,109,150000,nein
113753,4207,limousine,2008,manuell,102,125000,nein
164643,6946,limousine,2007,manuell,143,150000,nein
82689,1937,kleinwagen,2006,manuell,70,150000,nein
137036,6979,bus,2008,manuell,140,150000,nein
190268,9998,kombi,2007,manuell,211,150000,nein
115963,1581,limousine,2006,manuell,90,125000,nein
170270,4385,kombi,2006,manuell,101,150000,nein
195815,7835,limousine,2007,manuell,170,150000,nein
136176,8565,kleinwagen,2007,manuell,174,90000,nein
140151,8316,limousine,2006,manuell,140,150000,nein
59031,6309,cabrio,2007,automatik,120,100000,nein
101093,7478,cabrio,2006,automatik,136,60000,nein
91957,7364,limousine,2007,manuell,140,70000,nein
113009,8525,bus,2007,automatik,140,150000,nein
156448,6490,limousine,2008,manuell,140,80000,nein
161737,1401,bus,2008,manuell,75,150000,nein
177108,6571,kombi,2008,manuell,109,150000,nein
71597,2958,kleinwagen,2006,manuell,88,150000,nein
63006,2767,kombi,2006,manuell,109,150000,nein
37547,2117,bus,2006,manuell,77,150000,nein
83125,8786,coupe,2006,automatik,224,150000,nein
65825,4034,kleinwagen,2008,automatik,71,70000,nein
83601,5826,kleinwagen,2008,manuell,92,60000,nein
144429,2458,kleinwagen,2007,manuell,69,125000,nein
150722,7154,limousine,2008,manuell,124,70000,nein
48359,8532,bus,2008,manuell,145,60000,nein
5464,8482,limousine,2006,automatik,306,150000,nein
196537,5315,limousine,2006,manuell,170,150000,nein
7351,1504,coupe,2006,automatik,51,150000,nein
109341,2940,bus,2007,manuell,109,150000,ja
84092,6944,kombi,2008,manuell,101,60000,nein
161669,4319,kombi,2007,manuell,102,150000,ja
100792,7404,limousine,2007,manuell,143,150000,nein
166707,6951,kleinwagen,2008,manuell,80,30000,nein
195569,8980,limousine,2006,automatik,204,80000,nein
6103,8604,limousine,2008,manuell,143,150000,nein
163271,6000,kombi,2008,automatik,140,150000,nein
104477,4643,cabrio,2007,manuell,109,70000,nein
124631,5909,limousine,2007,manuell,90,150000,nein
85807,3921,coupe,2006,manuell,105,150000,nein
189734,9872,limousine,2008,automatik,110,125000,nein
22212,1476,kombi,2006,manuell,115,150000,ja
192780,4252,bus,2006,manuell,115,150000,nein
145977,7501,kombi,2006,automatik,163,150000,nein
182318,9717,bus,2008,manuell,140,150000,nein
84201,7384,limousine,2007,manuell,122,125000,nein
107012,9963,kombi,2008,manuell,209,125000,nein
73552,5516,limousine,2006,manuell,105,150000,nein
59912,3984,kleinwagen,2007,manuell,86,125000,nein
22373,6528,suv,2006,manuell,136,125000,nein
99721,3979,kleinwagen,2006,manuell,77,100000,nein
141403,8207,kombi,2007,manuell,170,150000,nein
186835,4668,cabrio,2008,manuell,136,150000,nein
170974,8472,cabrio,2008,manuell,140,150000,nein
186356,9888,cabrio,2006,manuell,150,100000,nein
144441,3519,kleinwagen,2006,manuell,75,50000,nein
123945,3452,limousine,2008,manuell,80,150000,ja
189699,9503,bus,2008,manuell,140,150000,nein
119450,2833,kleinwagen,2006,automatik,61,90000,nein
107512,1544,kombi,2006,manuell,90,125000,nein
6562,4190,limousine,2006,manuell,70,150000,nein
76905,4686,bus,2007,manuell,143,150000,nein
117245,8879,kleinwagen,2007,manuell,192,100000,nein
180760,9968,coupe,2006,manuell,260,100000,nein
158864,2388,limousine,2007,manuell,80,150000,nein
132163,5026,cabrio,2008,automatik,71,125000,nein
162744,8025,limousine,2008,manuell,122,150000,nein
85646,8928,limousine,2007,manuell,143,90000,nein
81121,2667,kleinwagen,2008,manuell,75,60000,nein
32355,4451,kleinwagen,2007,automatik,71,80000,nein
29100,3551,kombi,2008,manuell,80,150000,nein
51921,8879,limousine,2007,manuell,122,50000,nein
165065,4908,kombi,2006,manuell,102,150000,nein
98773,7896,kombi,2006,automatik,163,150000,nein
19862,9965,suv,2006,automatik,174,150000,nein
92563,2112,kombi,2006,manuell,109,150000,ja
5583,5957,kombi,2007,manuell,177,150000,nein
92797,8824,kombi,2007,manuell,140,150000,nein
90476,6963,kombi,2007,automatik,170,150000,nein
138152,4547,limousine,2006,manuell,80,125000,nein
137960,5285,kombi,2006,manuell,140,150000,nein
91910,6965,bus,2007,manuell,105,150000,nein
31947,5231,kleinwagen,2008,manuell,75,125000,nein
66668,3324,kombi,2006,manuell,90,150000,nein
33057,5597,limousine,2006,manuell,75,80000,nein
89915,9212,limousine,2007,automatik,170,150000,nein
89648,6299,kleinwagen,2008,manuell,92,70000,nein
40698,2999,limousine,2007,manuell,109,150000,ja
194824,5465,kleinwagen,2006,manuell,80,100000,nein
57346,6399,kombi,2006,automatik,163,150000,nein
180784,2997,kombi,2006,manuell,116,150000,nein
194918,3798,bus,2007,manuell,109,150000,nein
25280,4171,kombi,2007,manuell,136,150000,nein
72516,2420,kleinwagen,2006,manuell,54,125000,nein
196703,5910,limousine,2008,manuell,150,150000,nein
154772,9110,limousine,2008,manuell,226,125000,nein
121883,6527,bus,2006,manuell,140,150000,nein
5282,9550,bus,2006,manuell,150,70000,nein
158106,4854,bus,2006,manuell,109,150000,nein
145822,2980,limousine,2008,manuell,120,150000,ja
195378,4015,kleinwagen,2007,manuell,60,90000,nein
133007,4001,kleinwagen,2007,manuell,80,150000,nein
40956,2902,kleinwagen,2006,manuell,69,70000,nein
42034,1988,kleinwagen,2007,manuell,0,150000,nein
132379,2244,kombi,2006,manuell,86,150000,nein
21723,6892,suv,2008,manuell,141,60000,nein
76655,9806,kombi,2008,automatik,250,70000,nein
156297,4935,coupe,2008,automatik,71,90000,nein
156819,7831,kombi,2007,automatik,180,150000,nein
44562,3620,limousine,2008,manuell,105,90000,nein
135854,6394,cabrio,2006,manuell,116,150000,ja
161938,6125,kombi,2007,manuell,170,150000,nein
82870,5671,bus,2007,manuell,105,150000,nein
46846,7019,limousine,2008,manuell,95,60000,nein
53071,6234,limousine,2006,manuell,116,150000,nein
79619,3483,kleinwagen,2007,manuell,88,100000,nein
160079,3513,kombi,2007,manuell,0,150000,nein
90157,3993,kombi,2006,manuell,136,150000,nein
99558,3249,kleinwagen,2006,manuell,68,125000,nein
93252,4865,limousine,2007,manuell,125,150000,nein
192703,3156,kleinwagen,2006,manuell,80,150000,nein
10085,7991,limousine,2007,manuell,129,150000,nein
146395,9996,suv,2008,manuell,150,100000,nein
93274,2504,kombi,2007,manuell,80,150000,nein
69466,3501,kombi,2006,manuell,0,150000,nein
34795,8720,kombi,2006,manuell,200,150000,nein
49733,5941,limousine,2007,manuell,105,150000,nein
167649,5953,kleinwagen,2008,manuell,95,100000,nein
95127,2958,kleinwagen,2007,manuell,68,150000,nein
102846,5964,suv,2007,manuell,141,100000,nein
105304,9845,kleinwagen,2008,manuell,174,125000,nein
159132,8524,bus,2008,manuell,170,150000,nein
59406,9977,limousine,2006,automatik,326,150000,nein
155674,2990,kleinwagen,2006,manuell,69,150000,nein
21251,4019,limousine,2007,manuell,177,150000,nein
140618,2738,bus,2008,manuell,114,150000,ja
198627,8893,kombi,2007,manuell,170,150000,nein
32279,8954,cabrio,2008,manuell,126,60000,nein
178854,8918,kombi,2007,automatik,163,150000,nein
97776,7466,limousine,2008,manuell,170,150000,ja
168046,2989,kleinwagen,2007,manuell,68,125000,nein
31069,2921,kombi,2006,manuell,101,150000,nein
65335,6677,bus,2006,manuell,129,90000,nein
15252,4204,kleinwagen,2006,manuell,68,50000,nein
119754,8646,bus,2008,automatik,105,150000,nein
17243,5012,limousine,2006,manuell,170,150000,nein
131161,5471,kombi,2006,manuell,131,150000,nein
56372,8529,kombi,2006,manuell,140,150000,nein
91927,4937,kleinwagen,2008,manuell,150,80000,nein
125884,2573,kleinwagen,2006,manuell,60,50000,nein
105024,9529,kombi,2006,automatik,232,150000,ja
117607,8423,limousine,2007,manuell,170,150000,nein
13222,4951,limousine,2006,manuell,105,150000,nein
156124,6523,kombi,2008,manuell,0,150000,nein
38152,971,bus,2006,automatik,177,30000,nein
45210,8969,limousine,2007,automatik,232,150000,nein
161843,5867,kombi,2007,automatik,109,150000,nein
19150,4294,limousine,2008,manuell,95,125000,nein
190350,3281,kleinwagen,2006,manuell,60,80000,nein
94296,6041,bus,2007,automatik,102,150000,nein
61160,2987,limousine,2006,manuell,90,100000,nein
87206,5879,limousine,2007,manuell,125,150000,nein
147038,6966,kleinwagen,2007,manuell,120,150000,nein
83843,4456,bus,2007,automatik,140,125000,ja
44035,3510,bus,2007,manuell,105,150000,nein
144383,8227,kombi,2006,automatik,150,150000,nein
43038,4194,kombi,2006,manuell,75,70000,nein
63481,5453,kleinwagen,2006,manuell,64,70000,nein
50356,7965,bus,2007,manuell,140,80000,nein
187600,5464,limousine,2006,manuell,140,150000,nein
11636,498,kleinwagen,2006,manuell,60,125000,ja
195023,4238,kombi,2007,manuell,140,150000,nein
36662,4780,limousine,2006,manuell,150,150000,nein
95105,3314,kombi,2007,automatik,170,150000,nein
73839,9045,bus,2007,manuell,140,150000,nein
146437,6101,kombi,2007,manuell,105,80000,nein
105527,5251,kleinwagen,2007,manuell,86,80000,nein
146926,2744,kleinwagen,2006,manuell,65,100000,nein
157939,4966,bus,2007,manuell,177,150000,nein
193264,856,kleinwagen,2007,manuell,68,150000,ja
137659,5790,kombi,2008,manuell,109,150000,nein
167828,4914,kleinwagen,2007,automatik,84,60000,nein
45096,4853,limousine,2008,manuell,140,150000,nein
46481,4221,kombi,2007,manuell,170,150000,nein
2094,7337,limousine,2008,manuell,140,150000,nein
142886,3967,limousine,2008,manuell,105,150000,nein
155764,4820,kleinwagen,2006,manuell,131,100000,nein
90737,9981,kleinwagen,2007,manuell,245,20000,nein
187690,9903,kombi,2008,automatik,170,150000,nein
188854,6993,kombi,2008,automatik,184,125000,nein
95194,3169,kombi,2006,manuell,140,150000,nein
35960,3964,limousine,2006,manuell,140,150000,nein
44114,2261,kleinwagen,2006,manuell,60,125000,nein
98721,4564,kombi,2007,manuell,131,150000,nein
170120,7501,kleinwagen,2007,manuell,192,125000,nein
42518,5922,bus,2006,automatik,144,100000,nein
17606,6637,bus,2007,automatik,140,150000,ja
195635,5219,bus,2008,manuell,105,90000,ja
91865,7521,kombi,2007,automatik,224,150000,nein
52305,6176,limousine,2008,manuell,140,150000,nein
26961,2233,kombi,2006,manuell,116,150000,nein
176679,7802,limousine,2008,manuell,204,90000,nein
165449,2472,kleinwagen,2006,manuell,87,125000,nein
114384,5303,kleinwagen,2006,manuell,94,60000,nein
53191,7461,bus,2006,manuell,131,150000,nein
59003,7863,limousine,2008,manuell,122,100000,nein